date,position,daily_pnl,cumulative_pnl,hit,traded
2020-01-02,-1,-44283.61451587,-44283.61451587,0,1
2020-01-03,-1,312674.112578245,268390.498062375,1,1
2020-01-06,1,-76640.466125362,191750.031937013,0,1
2020-01-07,-1,-154630.825825058,37119.20611195499,0,1
2020-01-08,-1,210843.35873974298,247962.56485169797,1,1
2020-01-09,-1,-68896.317926361,179066.24692533695,0,1
2020-01-10,-1,-132221.687117244,46844.55980809295,0,1
2020-01-13,-1,135812.434258484,182656.99406657694,1,1
2020-01-14,-1,-18295.395552153,164361.59851442394,0,1
2020-01-15,-1,312967.108616199,477328.70713062293,1,1
2020-01-16,1,-167646.761943403,309681.94518721994,0,1
2020-01-17,-1,117360.054602059,427041.99978927895,1,1
2020-01-21,-1,89126.398569073,516168.39835835196,1,1
2020-01-22,-1,53369.243702722,569537.6420610739,1,1
2020-01-23,-1,71780.47591603201,641318.1179771059,1,1
2020-01-24,-1,-9864.009619592,631454.1083575139,0,1
2020-01-27,-1,184943.75749439702,816397.8658519109,1,1
2020-01-28,-1,52287.642707892,868685.5085598029,1,1
2020-01-29,-1,-26544.452341048,842141.0562187548,0,1
2020-01-30,-1,-49740.28753315099,792400.7686856039,0,1
2020-01-31,-1,46957.875272604004,839358.6439582079,1,1
2020-02-03,-1,472902.65678141,1312261.300739618,1,1
2020-02-04,1,-102197.94801703701,1210063.352722581,0,1
2020-02-05,-1,-253992.608410363,956070.744312218,0,1
2020-02-06,-1,169149.521391589,1125220.2657038071,1,1
2020-02-07,-1,-83606.214438474,1041614.0512653331,0,1
2020-02-10,-1,33720.308021783996,1075334.3592871171,1,1
2020-02-11,-1,-106475.204953787,968859.1543333301,0,1
2020-02-12,-1,-87500.681865923,881358.4724674071,0,1
2020-02-13,-1,62232.056812838004,943590.5292802451,1,1
