date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2017-11-14,55.869998931884766,2018-06-20,218,56251.0,8749
2017-11-15,55.560001373291016,2018-06-20,217,57306.0,8751
2017-11-16,55.369998931884766,2018-06-20,216,58982.0,9268
2017-11-17,56.38999938964844,2018-06-20,215,57092.0,11916
2017-11-20,56.11000061035156,2018-06-20,212,56942.0,7368
2017-11-21,56.290000915527344,2018-06-20,211,56359.0,9843
2017-11-22,56.880001068115234,2018-06-20,210,54124.0,23524
2017-11-24,57.41999816894531,2018-06-20,208,53825.0,15069
2017-11-27,57.09999847412109,2018-06-20,205,54970.0,14743
2017-11-28,57.09999847412109,2018-06-20,204,55713.0,10503
2017-11-29,56.43999862670898,2018-06-20,203,57447.0,10548
2017-11-30,56.5,2018-06-20,202,57601.0,13250
2017-12-01,57.31999969482422,2018-06-20,201,57636.0,13048
2017-12-04,56.58000183105469,2018-06-20,198,56995.0,9353
2017-12-05,56.93999862670898,2018-06-20,197,58096.0,6580
2017-12-06,55.65999984741211,2018-06-20,196,61517.0,11741
2017-12-07,56.29999923706055,2018-06-20,195,62039.0,16436
2017-12-08,57.0099983215332,2018-06-20,194,59004.0,19882
2017-12-11,57.470001220703125,2018-06-20,191,59735.0,23530
2017-12-12,56.52999877929688,2018-06-20,190,61443.0,18730
2017-12-13,55.7599983215332,2018-06-20,189,64310.0,26609
2017-12-14,56.380001068115234,2018-06-20,188,64018.0,21810
2017-12-15,56.5,2018-06-20,187,62450.0,15070
2017-12-18,56.7599983215332,2018-06-20,184,65268.0,20163
2017-12-19,57.130001068115234,2018-06-20,183,64913.0,12165
2017-12-20,57.630001068115234,2018-06-20,182,65587.0,13110
2017-12-21,57.880001068115234,2018-06-20,181,66559.0,10947
2017-12-22,58.119998931884766,2018-06-20,180,65689.0,10624
2017-12-26,59.38999938964844,2018-06-20,176,66352.0,5469
2017-12-27,59.16999816894531,2018-06-20,175,66092.0,8169
2017-12-28,59.27000045776367,2018-06-20,174,65701.0,6946
2017-12-29,59.7599983215332,2018-06-20,173,65749.0,11727
2018-01-02,59.720001220703125,2018-06-20,169,67852.0,19206
2018-01-03,60.58000183105469,2018-06-20,168,72091.0,27688
2018-01-04,60.869998931884766,2018-06-20,167,69638.0,26559
2018-01-05,60.619998931884766,2018-06-20,166,69580.0,18320
2018-01-08,60.9900016784668,2018-06-20,163,72630.0,27195
2018-01-09,61.900001525878906,2018-06-20,162,78749.0,32875
2018-01-10,62.31999969482422,2018-06-20,161,86415.0,37406
2018-01-11,62.52000045776367,2018-06-20,160,89333.0,44791
2018-01-12,63.04999923706055,2018-06-20,159,92892.0,25545
2018-01-16,62.59999847412109,2018-06-20,155,93418.0,29536
2018-01-17,62.84999847412109,2018-06-20,154,94712.0,14975
2018-01-18,62.84999847412109,2018-06-20,153,95813.0,15655
2018-01-19,62.33000183105469,2018-06-20,152,96956.0,11659
2018-01-22,62.619998931884766,2018-06-20,149,98656.0,15732
2018-01-23,63.41999816894531,2018-06-20,148,102216.0,22289
2018-01-24,64.12000274658203,2018-06-20,147,111248.0,62049
2018-01-25,64.2699966430664,2018-06-20,146,116272.0,48956
2018-01-26,64.76000213623047,2018-06-20,145,117216.0,39339
2018-01-29,64.23999786376953,2018-06-20,142,120680.0,32117
2018-01-30,63.34000015258789,2018-06-20,141,121681.0,33178
2018-01-31,63.52999877929688,2018-06-20,140,122000.0,29843
2018-02-01,64.31999969482422,2018-06-20,139,123951.0,34824
2018-02-02,63.54999923706055,2018-06-20,138,133636.0,56292
2018-02-05,62.459999084472656,2018-06-20,135,139435.0,59185
2018-02-06,61.75,2018-06-20,134,142835.0,36733
2018-02-07,60.36000061035156,2018-06-20,133,145487.0,45210
2018-02-08,59.86000061035156,2018-06-20,132,149612.0,39984
2018-02-09,57.900001525878906,2018-06-20,131,152666.0,36144
2018-02-12,57.91999816894531,2018-06-20,128,154639.0,27735
2018-02-13,58.02000045776367,2018-06-20,127,158034.0,31997
2018-02-14,59.47999954223633,2018-06-20,126,156336.0,42341
2018-02-15,59.72999954223633,2018-06-20,125,155253.0,47081
2018-02-16,60.18999862670898,2018-06-20,124,154984.0,33523
2018-02-20,60.7400016784668,2018-06-20,120,151450.0,54414
2018-02-21,60.77999877929688,2018-06-20,119,143933.0,29873
2018-02-22,61.77999877929688,2018-06-20,118,139689.0,46704
2018-02-23,62.66999816894531,2018-06-20,117,136646.0,43580
2018-02-26,63.0,2018-06-20,114,139135.0,33004
2018-02-27,62.220001220703125,2018-06-20,113,139915.0,36481
2018-02-28,60.66999816894531,2018-06-20,112,137565.0,37192
2018-03-01,59.97999954223633,2018-06-20,111,141514.0,54230
2018-03-02,60.36000061035156,2018-06-20,110,143083.0,31303
2018-03-05,61.59999847412109,2018-06-20,107,142578.0,26194
2018-03-06,61.72999954223633,2018-06-20,106,143068.0,31377
2018-03-07,60.369998931884766,2018-06-20,105,139250.0,55813
2018-03-08,59.63999938964844,2018-06-20,104,129855.0,73568
2018-03-09,61.33000183105469,2018-06-20,103,123202.0,79579
2018-03-12,60.869998931884766,2018-06-20,100,122263.0,39776
2018-03-13,60.40999984741211,2018-06-20,99,120066.0,52970
2018-03-14,60.65999984741211,2018-06-20,98,124156.0,31574
2018-03-15,60.84999847412109,2018-06-20,97,129987.0,27185
2018-03-16,61.93999862670898,2018-06-20,96,131702.0,28025
2018-03-19,61.61000061035156,2018-06-20,93,134507.0,30859
2018-03-20,62.900001525878906,2018-06-20,92,136706.0,51371
2018-03-21,64.54000091552734,2018-06-20,91,143876.0,68340
2018-03-22,63.83000183105469,2018-06-20,90,149277.0,66651
2018-03-23,65.29000091552734,2018-06-20,89,153411.0,59501
2018-03-26,65.02999877929688,2018-06-20,86,156152.0,38936
2018-03-27,64.86000061035156,2018-06-20,85,159602.0,67669
2018-03-28,64.05999755859375,2018-06-20,84,155875.0,63804
2018-03-29,64.54000091552734,2018-06-20,83,163664.0,61463
2018-04-02,62.720001220703125,2018-06-20,79,163792.0,51734
2018-04-03,63.209999084472656,2018-06-20,78,168316.0,49081
2018-04-04,63.09999847412109,2018-06-20,77,171805.0,86660
2018-04-05,63.34000015258789,2018-06-20,76,172063.0,68278
2018-04-06,61.959999084472656,2018-06-20,75,176977.0,136069
2018-04-09,63.2599983215332,2018-06-20,72,181223.0,97336
2018-04-10,65.16999816894531,2018-06-20,71,191365.0,131562
2018-04-11,66.44000244140625,2018-06-20,70,205393.0,169147
2018-04-12,66.58000183105469,2018-06-20,69,216080.0,94430
2018-04-13,67.0,2018-06-20,68,222690.0,98673
2018-04-16,65.94000244140625,2018-06-20,65,224160.0,108081
2018-04-17,66.23999786376953,2018-06-20,64,233060.0,102144
2018-04-18,68.1500015258789,2018-06-20,63,234833.0,124937
2018-04-19,68.08000183105469,2018-06-20,62,233987.0,136449
2018-04-20,68.18000030517578,2018-06-20,61,233949.0,122858
2018-04-23,68.47000122070312,2018-06-20,58,252037.0,214759
2018-04-24,67.56999969482422,2018-06-20,57,248920.0,150585
2018-04-25,67.91999816894531,2018-06-20,56,265183.0,164741
2018-04-26,68.08000183105469,2018-06-20,55,276828.0,155317
2018-04-27,67.9800033569336,2018-06-20,54,280256.0,112373
2018-04-30,68.4800033569336,2018-06-20,51,280424.0,189996
2018-05-01,67.12999725341797,2018-06-20,50,284902.0,167985
2018-05-02,67.7699966430664,2018-06-20,49,290071.0,230116
2018-05-03,68.26000213623047,2018-06-20,48,293921.0,165845
2018-05-04,69.58000183105469,2018-06-20,47,308251.0,160906
2018-05-07,70.62000274658203,2018-06-20,44,341480.0,229751
2018-05-08,68.97000122070312,2018-06-20,43,369479.0,312742
2018-05-09,71.05000305175781,2018-06-20,42,389230.0,268127
2018-05-10,71.30999755859375,2018-06-20,41,425359.0,231764
2018-05-11,70.68000030517578,2018-06-20,40,449466.0,222408
2018-05-14,70.98999786376953,2018-06-20,37,454235.0,243623
2018-05-15,71.37000274658203,2018-06-20,36,486617.0,349961
2018-05-16,71.55999755859375,2018-06-20,35,500055.0,320924
2018-05-17,71.56999969482422,2018-06-20,34,516697.0,460639
2018-05-18,71.37000274658203,2018-06-20,33,515453.0,462168
2018-05-21,72.3499984741211,2018-06-20,30,534315.0,579265
2018-05-22,72.19999694824219,2018-06-20,29,540497.0,723458
2018-05-23,71.83999633789062,2018-06-20,28,539117.0,702791
2018-05-24,70.70999908447266,2018-06-20,27,523442.0,640725
2018-05-25,67.87999725341797,2018-06-20,26,528771.0,955354
2018-05-29,66.7300033569336,2018-06-20,22,556238.0,1059750
2018-05-30,68.20999908447266,2018-06-20,21,506464.0,726886
2018-05-31,67.04000091552734,2018-06-20,20,502757.0,917563
2018-06-01,65.80999755859375,2018-06-20,19,470649.0,781103
2018-06-04,64.75,2018-06-20,16,448471.0,696050
2018-06-05,65.5199966430664,2018-06-20,15,441098.0,714674
2018-06-06,64.7300033569336,2018-06-20,14,414114.0,708829
2018-06-07,65.94999694824219,2018-06-20,13,368036.0,675041
2018-06-08,65.73999786376953,2018-06-20,12,329909.0,571224
2018-06-11,66.0999984741211,2018-06-20,9,286575.0,558281
2018-06-12,66.36000061035156,2018-06-20,8,246100.0,524411
2018-06-13,66.63999938964844,2018-06-20,7,199816.0,626398
2018-06-14,66.88999938964844,2018-06-20,6,157681.0,460168
2018-06-15,65.05999755859375,2018-06-20,5,131857.0,512591
2018-06-18,65.8499984741211,2018-06-20,2,77508.0,218933
2018-06-19,65.06999969482422,2018-06-20,1,26993.0,122646
2018-06-20,66.22000122070312,2018-06-20,0,7320.0,30647
