date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2018-07-26,2.1840999126434326,2019-02-28,217,16689.0,1463
2018-07-27,2.166599988937378,2019-02-28,216,17191.0,1798
2018-07-30,2.18560004234314,2019-02-28,213,17716.0,2743
2018-07-31,2.148099899291992,2019-02-28,212,18045.0,2853
2018-08-01,2.1059999465942383,2019-02-28,211,17965.0,3260
2018-08-02,2.134700059890747,2019-02-28,210,17782.0,3164
2018-08-03,2.131700038909912,2019-02-28,209,17653.0,2054
2018-08-06,2.1442999839782715,2019-02-28,206,17734.0,1874
2018-08-07,2.170399904251098,2019-02-28,205,17596.0,2316
2018-08-08,2.1175999641418457,2019-02-28,204,17786.0,1685
2018-08-09,2.111500024795532,2019-02-28,203,18090.0,2351
2018-08-10,2.1363000869750977,2019-02-28,202,18182.0,3220
2018-08-13,2.1333000659942627,2019-02-28,199,18438.0,3216
2018-08-14,2.129699945449829,2019-02-28,198,18727.0,3447
2018-08-15,2.0901999473571777,2019-02-28,197,18991.0,3610
2018-08-16,2.0992000102996826,2019-02-28,196,19610.0,2297
2018-08-17,2.10349988937378,2019-02-28,195,20214.0,1715
2018-08-20,2.1177000999450684,2019-02-28,192,21183.0,3749
2018-08-21,2.1259000301361084,2019-02-28,191,22237.0,7800
2018-08-22,2.1738998889923096,2019-02-28,190,23246.0,7270
2018-08-23,2.178800106048584,2019-02-28,189,24535.0,5823
2018-08-24,2.2042999267578125,2019-02-28,188,25396.0,7511
2018-08-27,2.215100049972534,2019-02-28,185,25654.0,2794
2018-08-28,2.2090001106262207,2019-02-28,184,26452.0,7992
2018-08-29,2.2383999824523926,2019-02-28,183,27277.0,6213
2018-08-30,2.245800018310547,2019-02-28,182,28114.0,7018
2018-08-31,2.234299898147583,2019-02-28,181,28937.0,5688
2018-09-04,2.245500087738037,2019-02-28,177,29602.0,13481
2018-09-05,2.2276999950408936,2019-02-28,176,30547.0,6331
2018-09-06,2.203000068664551,2019-02-28,175,31343.0,5816
2018-09-07,2.2100000381469727,2019-02-28,174,32242.0,4836
2018-09-10,2.212899923324585,2019-02-28,171,31922.0,7455
2018-09-11,2.244999885559082,2019-02-28,170,31691.0,13211
2018-09-12,2.256200075149536,2019-02-28,169,30963.0,14179
2018-09-13,2.2221999168396,2019-02-28,168,31904.0,10559
2018-09-14,2.2114999294281006,2019-02-28,167,32116.0,11516
2018-09-17,2.211899995803833,2019-02-28,164,32521.0,8258
2018-09-18,2.2383999824523926,2019-02-28,163,32626.0,6272
2018-09-19,2.246900081634521,2019-02-28,162,33556.0,7169
2018-09-20,2.230299949645996,2019-02-28,161,34086.0,5200
2018-09-21,2.230299949645996,2019-02-28,160,34215.0,7504
2018-09-24,2.287899971008301,2019-02-28,157,34375.0,7340
2018-09-25,2.3066999912261963,2019-02-28,156,35242.0,7345
2018-09-26,2.2997000217437744,2019-02-28,155,35669.0,6635
2018-09-27,2.3199000358581543,2019-02-28,154,36779.0,8070
2018-09-28,2.345000028610229,2019-02-28,153,39382.0,10309
2018-10-01,2.4054999351501465,2019-02-28,150,40506.0,8932
2018-10-02,2.405400037765503,2019-02-28,149,41234.0,12066
2018-10-03,2.436300039291382,2019-02-28,148,41350.0,7029
2018-10-04,2.396699905395508,2019-02-28,147,43241.0,9954
2018-10-05,2.38949990272522,2019-02-28,146,44013.0,9274
2018-10-08,2.390199899673462,2019-02-28,143,44304.0,10330
2018-10-09,2.418100118637085,2019-02-28,142,44635.0,16531
2018-10-10,2.3866000175476074,2019-02-28,141,44405.0,16469
2018-10-11,2.3239998817443848,2019-02-28,140,43640.0,11658
2018-10-12,2.315000057220459,2019-02-28,139,43352.0,13619
2018-10-15,2.321000099182129,2019-02-28,136,43205.0,8151
2018-10-16,2.3343000411987305,2019-02-28,135,43035.0,14950
2018-10-17,2.307300090789795,2019-02-28,134,44799.0,15245
2018-10-18,2.289999961853028,2019-02-28,133,45144.0,11314
2018-10-19,2.2967000007629395,2019-02-28,132,45839.0,8902
2018-10-22,2.310100078582764,2019-02-28,129,45107.0,13695
2018-10-23,2.241300106048584,2019-02-28,128,45728.0,14589
2018-10-24,2.24399995803833,2019-02-28,127,45261.0,11498
