date,settlement,expiry_date,days_to_expiry,open_interest,total_volume
2017-05-01,1.385200023651123,2017-11-30,213,36871.0,7802
2017-05-02,1.3634999990463257,2017-11-30,212,37344.0,7243
2017-05-03,1.3747999668121338,2017-11-30,211,37257.0,7881
2017-05-04,1.3210999965667725,2017-11-30,210,37345.0,7262
2017-05-05,1.344599962234497,2017-11-30,209,37583.0,7342
2017-05-08,1.3567999601364136,2017-11-30,206,37602.0,4684
2017-05-09,1.3357000350952148,2017-11-30,205,37462.0,5378
2017-05-10,1.3726999759674072,2017-11-30,204,37364.0,12105
2017-05-11,1.3873000144958496,2017-11-30,203,35686.0,10173
2017-05-12,1.3905999660491943,2017-11-30,202,33853.0,7923
2017-05-15,1.4107999801635742,2017-11-30,199,34641.0,8003
2017-05-16,1.4189000129699707,2017-11-30,198,33609.0,6791
2017-05-17,1.4276000261306765,2017-11-30,197,33765.0,8677
2017-05-18,1.4355000257492063,2017-11-30,196,33040.0,7345
2017-05-19,1.469599962234497,2017-11-30,195,33390.0,11213
2017-05-22,1.4811999797821045,2017-11-30,192,33379.0,6551
2017-05-23,1.4847999811172483,2017-11-30,191,33282.0,7757
2017-05-24,0.0606000013649463,2017-11-30,190,32707.0,13184
2017-05-25,1.4313000440597534,2017-11-30,189,32604.0,7696
2017-05-26,1.448699951171875,2017-11-30,188,33414.0,7621
2017-05-30,1.446499943733215,2017-11-30,184,33738.0,5720
2017-05-31,1.4158999919891355,2017-11-30,183,33307.0,7418
2017-06-01,1.4148999452590942,2017-11-30,182,34742.0,8064
2017-06-02,1.3948999643325806,2017-11-30,181,35129.0,7420
2017-06-05,1.3741999864578247,2017-11-30,178,38817.0,12862
2017-06-06,1.3853000402450562,2017-11-30,177,38604.0,9759
2017-06-07,1.3380000591278076,2017-11-30,176,38321.0,13273
2017-06-08,1.3395999670028689,2017-11-30,175,37561.0,10077
2017-06-09,1.3487999439239502,2017-11-30,174,36653.0,8580
2017-06-12,1.3444000482559204,2017-11-30,171,36984.0,7963
2017-06-13,1.3535000085830688,2017-11-30,170,37423.0,7581
2017-06-14,1.3101999759674072,2017-11-30,169,37071.0,17694
2017-06-15,1.3121000528335571,2017-11-30,168,36972.0,15666
2017-06-16,1.3243000507354736,2017-11-30,167,36810.0,8117
2017-06-19,1.317199945449829,2017-11-30,164,36074.0,6550
2017-06-20,1.2960000038146973,2017-11-30,163,36785.0,5376
2017-06-21,1.2757999897003174,2017-11-30,162,38024.0,13052
2017-06-22,1.284000039100647,2017-11-30,161,38878.0,11537
2017-06-23,1.2871999740600586,2017-11-30,160,39237.0,8502
2017-06-26,1.295300006866455,2017-11-30,157,40366.0,7883
2017-06-27,1.3188999891281128,2017-11-30,156,41528.0,7118
2017-06-28,1.336400032043457,2017-11-30,155,43185.0,16482
2017-06-29,1.3418999910354614,2017-11-30,154,42794.0,10103
2017-06-30,1.374899983406067,2017-11-30,153,43448.0,9776
2017-07-03,1.4020999670028689,2017-11-30,150,44045.0,10202
2017-07-05,1.366199970245361,2017-11-30,148,44468.0,20553
2017-07-06,1.3804999589920044,2017-11-30,147,46394.0,18225
2017-07-07,1.3466999530792236,2017-11-30,146,46065.0,18380
2017-07-10,1.3494000434875488,2017-11-30,143,46204.0,11784
2017-07-11,1.3624999523162842,2017-11-30,142,46513.0,17442
2017-07-12,1.3610999584197998,2017-11-30,141,47422.0,13830
2017-07-13,1.3705999851226809,2017-11-30,140,47442.0,11938
2017-07-14,1.392799973487854,2017-11-30,139,47714.0,18972
2017-07-17,1.382599949836731,2017-11-30,136,47936.0,12691
2017-07-18,1.391700029373169,2017-11-30,135,47774.0,19582
2017-07-19,1.4190000295639038,2017-11-30,134,47327.0,20459
2017-07-20,1.413699984550476,2017-11-30,133,48560.0,15860
2017-07-21,1.3860000371932983,2017-11-30,132,47395.0,15752
2017-07-24,1.3910000324249268,2017-11-30,129,48365.0,12324
2017-07-25,1.423699975013733,2017-11-30,128,47991.0,18522
2017-07-26,1.4421000480651855,2017-11-30,127,47662.0,15820
2017-07-27,1.45770001411438,2017-11-30,126,45844.0,20725
2017-07-28,1.4779000282287598,2017-11-30,125,42793.0,25658
2017-07-31,1.5010000467300415,2017-11-30,122,43092.0,19918
2017-08-01,1.488700032234192,2017-11-30,121,45778.0,25948
2017-08-02,1.4922000169754028,2017-11-30,120,46958.0,29915
2017-08-03,1.48580002784729,2017-11-30,119,50106.0,29085
2017-08-04,1.4972000122070312,2017-11-30,118,51034.0,20425
2017-08-07,1.4903000593185425,2017-11-30,115,50138.0,27563
2017-08-08,1.4804999828338623,2017-11-30,114,50457.0,32526
2017-08-09,1.4843000173568726,2017-11-30,113,51302.0,25395
2017-08-10,1.4610999822616575,2017-11-30,112,51949.0,26659
2017-08-11,1.4651000499725342,2017-11-30,111,53473.0,25581
2017-08-14,1.4357000589370728,2017-11-30,108,52995.0,14519
2017-08-15,1.4390000104904177,2017-11-30,107,52532.0,17198
2017-08-16,1.4215999841690063,2017-11-30,106,52398.0,15908
2017-08-17,1.440500020980835,2017-11-30,105,56191.0,30855
2017-08-18,1.4764000177383425,2017-11-30,104,57548.0,25128
2017-08-21,1.4434000253677368,2017-11-30,101,58278.0,17132
2017-08-22,1.4492000341415403,2017-11-30,100,59385.0,17058
2017-08-23,1.4730000495910645,2017-11-30,99,60748.0,22397
2017-08-24,1.4709999561309814,2017-11-30,98,58667.0,59034
2017-08-25,1.4707000255584717,2017-11-30,97,60748.0,63781
